Case ID,Case type,Case name,Version,Keywords,Auto type,Workloading,Priority,Creator,Category folder,Execution Type,Status,OS,Phase,Owner,Objective,Release notes,Type matrix,Case tools
4576PA,SW,Android 4.0 ICS : Preloaded application test <Root> 4576PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Single,Active,Win 10,SIT,eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,,
4576PA,SW,Android 4.0 ICS : Preloaded application test <Root> 4576PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Single,Active,Win 10,FVT,eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,,
4602PA,SW,Preloaded lenovo application test 4602PA,1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,Android,SIT,eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,Android 4.0,
4602PA,SW,Preloaded lenovo application test 4602PA,1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,Android,FVT,eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,Android 4.0,
4604PA,SW,Preloaded third party application test 4604PA,1.1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,Android,SIT,eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,Android 4.0,
4604PA,SW,Preloaded third party application test 4604PA,1.1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,Android,FVT,eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,Android 4.0,
4575PA,SW,Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> 4575PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> - 4575PA,Single,Active,Win 10,SIT,eb72153,TBD,,,
4575PA,SW,Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> 4575PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> - 4575PA,Single,Active,Win 10,FVT,eb72153,TBD,,,
4595PA,SW,Live Effect test 4595PA,1.1,none,-100,144,,yamenomiya,ROOT: Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> - 4575PA,Matrix,Active,"Android, Win 10",SIT,eb71725,To check the live effect for android works properly,,"Android 4.0, Win10-32bit, Win10-64bit",
4595PA,SW,Live Effect test 4595PA,1.1,none,-100,144,,yamenomiya,ROOT: Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> - 4575PA,Matrix,Active,"Android, Win 10",FVT,eb71725,To check the live effect for android works properly,,"Android 4.0, Win10-32bit, Win10-64bit",
4542PA,SW,Android 4.0 ICS : Pure Android OS function : Social Communication/Network Test <Root> 4542PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : Social Communication/Network Test <Root> - 4542PA,Single,Active,Win 10,SIT,eb72153,Confirm that each function works successfully by Android OS. And confirm that related application and a device function successfully.,,,
4542PA,SW,Android 4.0 ICS : Pure Android OS function : Social Communication/Network Test <Root> 4542PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : Social Communication/Network Test <Root> - 4542PA,Single,Active,Win 10,FVT,eb72153,Confirm that each function works successfully by Android OS. And confirm that related application and a device function successfully.,,,
4574PA,SW,Android 4.0 ICS : Pure Android OS function : User Interface Test <Root> 4574PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : User Interface Test <Root> - 4574PA,Single,Active,Win 10,SIT,eb72153,Confirm that each function works successfully by Android OS. And confirm that related application and a device function successfully.,,,
4574PA,SW,Android 4.0 ICS : Pure Android OS function : User Interface Test <Root> 4574PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : User Interface Test <Root> - 4574PA,Single,Active,Win 10,FVT,eb72153,Confirm that each function works successfully by Android OS. And confirm that related application and a device function successfully.,,,
4616PA,SW,Android FFRT:Android 4.0 ICS Function Test 4616PA,1,none,-100,480,,eb72153,ROOT: Android FFRT (Android Team) - 4783PA,Matrix,Active,Android,SIT,eb72153,To confirm final level of software - EC/Image/Applications,,Android 4.0,
4616PA,SW,Android FFRT:Android 4.0 ICS Function Test 4616PA,1,none,-100,480,,eb72153,ROOT: Android FFRT (Android Team) - 4783PA,Matrix,Active,Android,SVT,eb72153,To confirm final level of software - EC/Image/Applications,,Android 4.0,
4783PA,SW,Android FFRT (Android Team) 4783PA,1,none,-100,0,,eb72153,ROOT: Android FFRT (Android Team) - 4783PA,Single,Active,Win 10,SIT,eb72153,To confirm final level of software - EC/Image/Applications,,,
4783PA,SW,Android FFRT (Android Team) 4783PA,1,none,-100,0,,eb72153,ROOT: Android FFRT (Android Team) - 4783PA,Single,Active,Win 10,SVT,eb72153,To confirm final level of software - EC/Image/Applications,,,
5604PA,SW,Lenovo Vantage Hardware Scan Function Test 5604PA,4.3,none,-100,120,High,ycharmaine,Application,Matrix,Active,"Win 10, Win 11",FVT,vthangavel,-confirm the basic function of the application,,Win10-64bit,
5604PA,SW,Lenovo Vantage Hardware Scan Function Test 5604PA,4.3,none,-100,120,High,ycharmaine,Application,Matrix,Active,"Win 10, Win 11",FVT 2,vthangavel,-confirm the basic function of the application,,Win10-64bit,
5604PA,SW,Lenovo Vantage Hardware Scan Function Test 5604PA,4.3,none,-100,120,High,ycharmaine,Application,Matrix,Active,"Win 10, Win 11",SIT,vthangavel,-confirm the basic function of the application,,Win10-64bit,
5604PA,SW,Lenovo Vantage Hardware Scan Function Test 5604PA,4.3,none,-100,120,High,ycharmaine,Application,Matrix,Active,"Win 10, Win 11",SIT 2,vthangavel,-confirm the basic function of the application,,Win10-64bit,
APP_0067,SW,MS Recall App function test,1.1,Recall,-100,600,High,amannem2,Application,Single,Active,Win 11,FVT,amannem2,To qualify Recall,,,
APP_0067,SW,MS Recall App function test,1.1,Recall,-100,600,High,amannem2,Application,Single,Active,Win 11,SIT,amannem2,To qualify Recall,,,
APP_0069,SW,AMO Function Test,1.1,AMO,-100,1080,High,amannem2,Application,Single,Active,Win 11,FVT,amannem2,To Qualify AMO in Lenovo Vantage.,,,
APP_0069,SW,AMO Function Test,1.1,AMO,-100,1080,High,amannem2,Application,Single,Active,Win 11,SIT,amannem2,To Qualify AMO in Lenovo Vantage.,,,
APP_0069,SW,AMO Function Test,1.1,AMO,-100,1080,High,amannem2,Application,Single,Active,Win 11,SVT,amannem2,To Qualify AMO in Lenovo Vantage.,,,
AP_0013,SW,Intel Online Connect,0.3,IOC,-100,0,,qvanessa,Application,Single,Active,Win 10,nan,qvanessa,To qualify Intel Online Connect.,,,
AP_0017,SW,Lenovo Quick Clean Function Test,2.4,Quick Clean,-100,120,,jpajaro1,Application,Single,Active,Win 10,FVT,mmontecer,To Test Lenovo Quick Clean Application,,,
AP_0017,SW,Lenovo Quick Clean Function Test,2.4,Quick Clean,-100,120,,jpajaro1,Application,Single,Active,Win 10,SIT,mmontecer,To Test Lenovo Quick Clean Application,,,
AP_0024,SW,User Presence Function Test,2.0,HPD,-100,720,,fyuan,Application,Single,Active,Win 10,FVT,fyuan,Verify HPD function,,,
AP_0024,SW,User Presence Function Test,2.0,HPD,-100,720,,fyuan,Application,Single,Active,Win 10,SIT,fyuan,Verify HPD function,,,
AP_0027,SW,Stress Test,0.8,stress,-100,1440,,qvanessa,Application,Single,Active,"Win 10, Win 11",SIT,qvanessa,To confirm that applications don't cause critical issues during stress condition.,,,
AP_0029,SW,Mode Switcher Basic Function Test,2.1,Mode Switcher,-100,480,,gkothandaram,Application,Single,Active,Win 10,FVT,fyuan,To Verify Mode Switcher basic function,,,
AP_0029,SW,Mode Switcher Basic Function Test,2.1,Mode Switcher,-100,480,,gkothandaram,Application,Single,Active,Win 10,SIT,fyuan,To Verify Mode Switcher basic function,,,
AP_0030,SW,Mode Switcher Advanced Function Test,2.1,Mode Switcher,-100,720,,fyuan,Application,Single,Active,Win 10,nan,fyuan,To verify Mode Switcher advanced function,,,
AP_0031,SW,Tile Function Test,0.5,Tile,-100,480,High,qvanessa,Application,Single,Active,Win 10,FVT,qvanessa,Qualify Tile application on both PC and smartphone.,,,
AP_0031,SW,Tile Function Test,0.5,Tile,-100,480,High,qvanessa,Application,Single,Active,Win 10,SIT,qvanessa,Qualify Tile application on both PC and smartphone.,,,
AP_0032,SW,Lenovo Diag Function Test,1.1,"Lenov Diagnostics, L-Diag",-100,360,,jpajaro1,Application,Matrix,Active,Win 10,FVT,jpajaro1,Confirm Lenovo Diagnostics Windows (L-Diag) function.,,Win10-64bit,
AP_0032,SW,Lenovo Diag Function Test,1.1,"Lenov Diagnostics, L-Diag",-100,360,,jpajaro1,Application,Matrix,Active,Win 10,SIT,jpajaro1,Confirm Lenovo Diagnostics Windows (L-Diag) function.,,Win10-64bit,
AP_0035,SW,MS Teams Function test,2.2,MS Teams,-100,600,High,ycharmaine,Application,Single,Active,"Win 10, Win 11",FVT,qvanessa,To qualify MS Teams UC App,,,
AP_0035,SW,MS Teams Function test,2.2,MS Teams,-100,600,High,ycharmaine,Application,Single,Active,"Win 10, Win 11",FVT 2,qvanessa,To qualify MS Teams UC App,,,
AP_0035,SW,MS Teams Function test,2.2,MS Teams,-100,600,High,ycharmaine,Application,Single,Active,"Win 10, Win 11",SIT,qvanessa,To qualify MS Teams UC App,,,
AP_0035,SW,MS Teams Function test,2.2,MS Teams,-100,600,High,ycharmaine,Application,Single,Active,"Win 10, Win 11",SIT 2,qvanessa,To qualify MS Teams UC App,,,
AP_0038,SW,AP_0038-Zoom Function Test,v0.3,AP_0038-Zoom Function Test,-100,200,,amannem2,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,To test the zoom application,,,
AP_0039,SW,Common test for Video call app,v2.2,Common test for Video call app,-100,1440,,gkothandaram,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,To test UC Applications,,,
AP_0041,SW,Lenovo View Function Test,v3.1,Lenovo View Function Test,-100,1080,,amannem2,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,"To test LVF application on each applicable camera type and vendor.
Refer sheet LVF v3.1.x from LVF GUI version 3.1.x or above
                 LVF v3.0 & v2.x from LVF GUI version 2.x to 3.0.x",,,
AP_0043,SW,Lenovo Smart Appearance,v1.3,Lenovo Smart Appearance,-100,1590,,gkothandaram,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,To verify Lenovo Smart Appearance application,,,
AP_0044,SW,联想百应PaaS平台 预装个人模式（包含游客）测试用例,1.5,联想百应PaaS平台 预装个人模式（包含游客）测试用例,-100,600,,gkothandaram,Application,Single,Active,Win 11,nan,gkothandaram,BaiYing One Test,,,
AP_0045,SW,LBY2.0 function test,2.3,LBY2.0 function test,-100,960,,chaohh2,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,"BaiYing One Test
  LBY2.0 test case was first release, and big change compare w/ Baiying One. The version starts from v2.0.0 and introduced Lenovo vantage service in LBY2.0.
ALSO, LBY2.0 was implemented on commercial projects via PCR CP20230617_0001 Support New LBY in ThinkPads",,,
AP_0046,SW,Trackpoint Quick menu Function Test,2.5,Trackpoint,-100,2160,High,amannem2,Application,Single,Active,"Win 10, Win 11",FVT,qvanessa,To qualify Trackpoint Quick menu's function and UI.,,,
AP_0046,SW,Trackpoint Quick menu Function Test,2.5,Trackpoint,-100,2160,High,amannem2,Application,Single,Active,"Win 10, Win 11",SIT,qvanessa,To qualify Trackpoint Quick menu's function and UI.,,,
AP_0047,SW,Android App Function test,1.4,Android App Function test,-100,300,,gkothandaram,Application,Single,Active,Win 11,nan,gkothandaram,To confirm andriod apps in Windows 11,,,
AP_0048,SW,HPD function Test,1.21,HPD,-100,960,,fyuan,Application,Single,Active,Win 11,FVT,fyuan,Verify HPD function,,,
AP_0048,SW,HPD function Test,1.21,HPD,-100,960,,fyuan,Application,Single,Active,Win 11,SIT,fyuan,Verify HPD function,,,
AP_0049,SW,Computer vision function Test,3.0,CV,-100,1080,,ycharmaine,Application,Single,Active,Win 11,FVT,fyuan,Verify computer vision,,,
AP_0049,SW,Computer vision function Test,3.0,CV,-100,1080,,ycharmaine,Application,Single,Active,Win 11,SIT,fyuan,Verify computer vision,,,
AP_0050,SW,Windows Presence Sensing Function Test,2.3,Presence sensing,-100,1200,High,ycharmaine,Application,Single,Active,Win 11,FVT,qvanessa,To qualify Windows Presence Sensing feature.,,,
AP_0050,SW,Windows Presence Sensing Function Test,2.3,Presence sensing,-100,1200,High,ycharmaine,Application,Single,Active,Win 11,SIT,qvanessa,To qualify Windows Presence Sensing feature.,,,
AP_0051,SW,Ultrasound function Test,3.0,Ultrasound,-100,600,,ycharmaine,Application,Single,Active,Win 11,nan,fyuan,"To verify Ultrasound function

v1.5.1 reupdated with correct test case",,,
AP_0052,SW,Clean Your Device Function Test,1.7,Clean Your Device Function Test,-100,120,,gkothandaram,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,To test Clean your device application works without any issues in Thinkpad products,,,
AP_0055,SW,Intel Unison App Function Test,2.1,Intel Unison,-100,1440,High,fyuan,Application,Single,Active,Win 11,FFRT,qvanessa,To Qualify Intel Unison application.,,,
AP_0055,SW,Intel Unison App Function Test,2.1,Intel Unison,-100,1440,High,fyuan,Application,Single,Active,Win 11,FVT,qvanessa,To Qualify Intel Unison application.,,,
AP_0055,SW,Intel Unison App Function Test,2.1,Intel Unison,-100,1440,High,fyuan,Application,Single,Active,Win 11,SIT,qvanessa,To Qualify Intel Unison application.,,,
AP_0056,SW,Ready For PC App Function Test,1.1,ReadyFor,-100,960,High,qvanessa,Application,Single,Active,"Win 10, Win 11",FVT,qvanessa,To qualify Ready For Assistant app on supported products,,,
AP_0056,SW,Ready For PC App Function Test,1.1,ReadyFor,-100,960,High,qvanessa,Application,Single,Active,"Win 10, Win 11",SIT,qvanessa,To qualify Ready For Assistant app on supported products,,,
AP_0059,SW,Lenovo Vantage - Advanced Setup Kits,1.3,Lenovo Vantage - Advanced Setup Kits,-100,300,,chaohh2,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,To test Lenovo Vantage feature targetted from Thinkpad E series CS23 projects from v2303,,,
AP_0060,SW,Lenovo Now function test on ThinkPad,0.2,Lenovo Now function test on ThinkPad,-100,300,,chaohh2,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,"to test Lenovo Now application, previously know as Lenovo Welcome",,,
AP_0061,SW,Lenovo Smart Meeting Function Test on ThinkPad,0.4,Lenovo Smart Meeting Function Test on ThinkPad SMB,-100,1460,,chaohh2,Application,Single,Active,Win 11,nan,gkothandaram,To qualify Lenovo Smart Meeting Function Test on ThinkPad SMB,,,
AP_0063,SW,MS AI App function test,2.1,AP_0063 - MS AI App function test v0.1,-100,360,High,ycharmaine,Application,Single,Active,Win 11,FVT,gkothandaram,To confirm the AI functionalities working,,,
AP_0063,SW,MS AI App function test,2.1,AP_0063 - MS AI App function test v0.1,-100,360,High,ycharmaine,Application,Single,Active,Win 11,FVT 2,gkothandaram,To confirm the AI functionalities working,,,
AP_0063,SW,MS AI App function test,2.1,AP_0063 - MS AI App function test v0.1,-100,360,High,ycharmaine,Application,Single,Active,Win 11,SIT,gkothandaram,To confirm the AI functionalities working,,,
AP_0063,SW,MS AI App function test,2.1,AP_0063 - MS AI App function test v0.1,-100,360,High,ycharmaine,Application,Single,Active,Win 11,SIT 2,gkothandaram,To confirm the AI functionalities working,,,
AP_0064,SW,FFRT Vantage Function Test,1.0,Vantage FFRT,-100,360,High,qvanessa,Application,Single,Active,"Win 10, Win 11",FFRT,qvanessa,To qualify Vantage app in FFRT phase.,,,
AP_0065,SW,Copilot Compatibility Test,2.1,Copilot,-100,485,High,ycharmaine,Application,Single,Active,Win 11,FVT,qvanessa,To qualify Copilot app.,,,
AP_0065,SW,Copilot Compatibility Test,2.1,Copilot,-100,485,High,ycharmaine,Application,Single,Active,Win 11,FVT 2,qvanessa,To qualify Copilot app.,,,
AP_0065,SW,Copilot Compatibility Test,2.1,Copilot,-100,485,High,ycharmaine,Application,Single,Active,Win 11,SIT,qvanessa,To qualify Copilot app.,,,
AP_0065,SW,Copilot Compatibility Test,2.1,Copilot,-100,485,High,ycharmaine,Application,Single,Active,Win 11,SIT 2,qvanessa,To qualify Copilot app.,,,
AP_0070,SW,Lenovo OKR Validation Test v1.0,1.0,OKR,-100,960,High,amannem2,Application,Single,Active,"Win 10, Win 11",FVT,amannem2,To check Lenovo OKR,,,
AP_0070,SW,Lenovo OKR Validation Test v1.0,1.0,OKR,-100,960,High,amannem2,Application,Single,Active,"Win 10, Win 11",SIT,amannem2,To check Lenovo OKR,,,
AP_0070,SW,Lenovo OKR Validation Test v1.0,1.0,OKR,-100,960,High,amannem2,Application,Single,Active,"Win 10, Win 11",SVT,amannem2,To check Lenovo OKR,,,
5811PA,SW,AOAC Stress Test in SIT w/Applications 5811PA,1,none,-100,0,,vthangavel,AOAC Stress Test Validation w/Applications,Single,Active,Win 10,SIT,vthangavel,To perform AOAC stress test w/applications,,,
5811PA,SW,AOAC Stress Test in SIT w/Applications 5811PA,1,none,-100,0,,vthangavel,AOAC Stress Test Validation w/Applications,Single,Active,Win 10,FVT,vthangavel,To perform AOAC stress test w/applications,,,
AP_0028,SW,LVA Function Test,1.7,LVA,-100,480,,gkothandaram,Application,Single,Active,"Win 10, Win 11",FVT,fyuan,Verify LVA function,,,
AP_0028,SW,LVA Function Test,1.7,LVA,-100,480,,gkothandaram,Application,Single,Active,"Win 10, Win 11",SIT,fyuan,Verify LVA function,,,
AP_0040,SW,AP_0040:New Smart Displays App Function Test,0.3,New Smart Displays App Function Test,-100,120,,gkothandaram,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,To Test Smart Display Application,,,
AP_0042,SW,AI Meeting Manager function test,v0.4,AI Meeting Manager function test,-100,200,,gkothandaram,Application,Single,Active,"Win 10, Win 11",nan,gkothandaram,To test the AI meeting manager,,,
AP_0053,SW,AP_0053-Lenovo APP Store,v1.5,AP_0053 Lenovo APP Store,-100,60,,zhanglm11,Application,Single,Active,,nan,lijy62,Lenovo App store testing,,,
AP_0054,SW,AP_0054-Lenovo Browser,v2.1_1,AP_0054-Lenovo Browser,-100,168,,zhanglm11,Application,Single,Active,,nan,lijy62,Lenovo Browser Testing,,,
5313PA,SW,Stagelight function test 5313PA,1.2,none,-100,480,,tmitsuhashi,MAIN: Stagelight function test - 5313PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm Stagelight function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5313PA,SW,Stagelight function test 5313PA,1.2,none,-100,480,,tmitsuhashi,MAIN: Stagelight function test - 5313PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm Stagelight function,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5127PA,SW,3rd Party Application: Sophos Safeguard Easy 5127PA,1.4,none,-100,480,,vthangavel,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To confirm Sophos Safeguard Easy can be installed on Lenovo products,,"Win81-64bit, Win81-32bit, Win7- 64bit, Win7- 32bit",
5127PA,SW,3rd Party Application: Sophos Safeguard Easy 5127PA,1.4,none,-100,480,,vthangavel,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,To confirm Sophos Safeguard Easy can be installed on Lenovo products,,"Win81-64bit, Win81-32bit, Win7- 64bit, Win7- 32bit",
5128PA,SW,3rd Party Application: McAfee 5128PA,1.1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,"Confirm if system will have a problem if this software are installed on
Lenovo system",,"Win81-64bit, Win81-32bit, Win10-32bit, Win7- 64bit, Win7- 32bit",
5128PA,SW,3rd Party Application: McAfee 5128PA,1.1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,"Confirm if system will have a problem if this software are installed on
Lenovo system",,"Win81-64bit, Win81-32bit, Win10-32bit, Win7- 64bit, Win7- 32bit",
5131PA,SW,3rd Party Security SW: SecureDoc confirmation test 5131PA,3.1,none,-100,480,,gkothandaram,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,Confirm SecureDoc works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5131PA,SW,3rd Party Security SW: SecureDoc confirmation test 5131PA,3.1,none,-100,480,,gkothandaram,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,Confirm SecureDoc works,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5202PA,SW,3rd Party Security application test 5202PA,1.1,none,-100,0,,tmitsuhashi,ROOT: 3rd Party Security application test - 5202PA,Single,Active,Win 10,SIT,vthangavel,verify 3rd party security applications,,,
5332PA,SW,Symantec Endpoint Protection compatibility test 5332PA,1,none,-100,240,,tmitsuhashi,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm if Lenovo owned applications or drivers are affected when Symantec Endpoint Protection is installed,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5332PA,SW,Symantec Endpoint Protection compatibility test 5332PA,1,none,-100,240,,tmitsuhashi,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm if Lenovo owned applications or drivers are affected when Symantec Endpoint Protection is installed,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5419PA,SW,McAfee LiveSafe function test 5419PA,1,none,-100,240,,gkothandaram,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm McAfee LiveSafe Int,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5419PA,SW,McAfee LiveSafe function test 5419PA,1,none,-100,240,,gkothandaram,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,confirm McAfee LiveSafe Int,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5632PA,SW,Intel Truekey usage test 5632PA,1.5.1,none,-100,480,,timothy.roasa@awsys-i.com,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm Intel Truekey application based on usage case,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
5670PA,SW,Intel Authenticate usage test 5670PA,1,none,-100,480,,shaun.casantusan@awsys-i.com,ROOT: 3rd Party Security application test - 5202PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,confirm Intel Authenticate basic function via GPO,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
1542PA,SW,Application team: Preload application compatibility 1542PA,4.5,none,-100,0,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Single,Active,Win 10,SIT,vthangavel,"To verify Mobile functionality in condition of application existence.
This test is not intended to qualify the application itself but use the application as a test tool or test environment which inturn qualifies system components like ODD, HDD, External ODD, etc.
Any major issues found using the 3rd party applications that affects ThinkPad's quality and usability should be reported immediately.",,,
4579PA,SW,Diskeeper ExpressCache Function Test 4579PA,1.9,none,-100,360,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",SIT,vthangavel,To confirm the functionality of Diskeeper application.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
4579PA,SW,Diskeeper ExpressCache Function Test 4579PA,1.9,none,-100,360,,tmitsuhashi,ROOT: Application team: Preload application compatibility - 1542PA,Matrix,Active,"Win 10, Win 8.1, Win7 Home premium, Win7 Starter, Win7 Ultimate",FVT,vthangavel,To confirm the functionality of Diskeeper application.,,"Win81-64bit, Win81-32bit, Win10-32bit, Win10-64bit, Win7- 64bit, Win7- 32bit",
