Case ID,Case type,Case name,Version,Keywords,Auto type,Workloading,Priority,Creator,Category folder,Execution Type,Status,OS,Phase,Owner,Objective,Release notes,Type matrix,Case tools
4576PA,SW,Android 4.0 ICS : Preloaded application test <Root> 4576PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Single,Active,Win 10,"SIT,FVT",eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,NULL,
4602PA,SW,Preloaded lenovo application test 4602PA,1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,Android,"SIT,FVT",eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,Android 4.0,
4604PA,SW,Preloaded third party application test 4604PA,1.1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,Android,"SIT,FVT",eb72153,Confirm that application works successfully by AndroidOS. And confirm that related application and a device function successfully.,,Android 4.0,
4575PA,SW,Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> 4575PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> - 4575PA,Single,Active,Win 10,"SIT,FVT",eb72153,TBD,,NULL,
4595PA,SW,Live Effect test 4595PA,1.1,none,-100,144,,yamenomiya,ROOT: Android 4.0 ICS : Pure Android OS function : Multimedia Test <Root> - 4575PA,Matrix,Active,"Android, Win 10","SIT,FVT",eb71725,To check the live effect for android works properly,,"Android 4.0, Win10-32bit, Win10-64bit",
4542PA,SW,Android 4.0 ICS : Pure Android OS function : Social Communication/Network Test <Root> 4542PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : Social Communication/Network Test <Root> - 4542PA,Single,Active,Win 10,"SIT,FVT",eb72153,Confirm that each function works successfully by Android OS. And confirm that related application and a device function successfully.,,NULL,
4574PA,SW,Android 4.0 ICS : Pure Android OS function : User Interface Test <Root> 4574PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Pure Android OS function : User Interface Test <Root> - 4574PA,Single,Active,Win 10,"SIT,FVT",eb72153,Confirm that each function works successfully by Android OS. And confirm that related application and a device function successfully.,,NULL,
4616PA,SW,Android FFRT:Android 4.0 ICS Function Test 4616PA,1,none,-100,480,,eb72153,ROOT: Android FFRT (Android Team) - 4783PA,Matrix,Active,Android,"SIT,SVT",eb72153,To confirm final level of software - EC/Image/Applications,,Android 4.0,
4783PA,SW,Android FFRT (Android Team) 4783PA,1,none,-100,0,,eb72153,ROOT: Android FFRT (Android Team) - 4783PA,Single,Active,Win 10,"SIT,SVT",eb72153,To confirm final level of software - EC/Image/Applications,,NULL,
5604PA,SW,Lenovo Vantage Hardware Scan Function Test 5604PA,4.3,none,-100,120,High,ycharmaine,Application,Matrix,Active,"Win 10, Win 11","FVT,FVT 2,SIT,SIT 2",vthangavel,-confirm the basic function of the application,,Win10-64bit,
APP_0067,SW,MS Recall App function test,1.1,Recall,-100,600,High,amannem2,Application,Single,Active,Win 11,"FVT,SIT",amannem2,To qualify Recall,,NULL,
APP_0069,SW,AMO Function Test,1.1,AMO,-100,1080,High,amannem2,Application,Single,Active,Win 11,"FVT,SIT,SVT",amannem2,To Qualify AMO in Lenovo Vantage.,,NULL,
AP_0013,SW,Intel Online Connect,0.3,IOC,-100,0,,qvanessa,Application,Single,Active,Win 10,,qvanessa,To qualify Intel Online Connect.,,NULL,
AP_0017,SW,Lenovo Quick Clean Function Test,2.4,Quick Clean,-100,120,,jpajaro1,Application,Single,Active,Win 10,"FVT,SIT",mmontecer,To Test Lenovo Quick Clean Application,,NULL,
AP_0024,SW,User Presence Function Test,2.0,HPD,-100,720,,fyuan,Application,Single,Active,Win 10,"FVT,SIT",fyuan,Verify HPD function,,NULL,
AP_0027,SW,Stress Test,0.8,stress,-100,1440,,qvanessa,Application,Single,Active,"Win 10, Win 11",SIT,qvanessa,To confirm that applications don't cause critical issues during stress condition.,,NULL,
AP_0029,SW,Mode Switcher Basic Function Test,2.1,Mode Switcher,-100,480,,gkothandaram,Application,Single,Active,Win 10,"FVT,SIT",fyuan,To Verify Mode Switcher basic function,,NULL,
AP_0030,SW,Mode Switcher Advanced Function Test,2.1,Mode Switcher,-100,720,,fyuan,Application,Single,Active,Win 10,,fyuan,To verify Mode Switcher advanced function,,NULL,
AP_0031,SW,Tile Function Test,0.5,Tile,-100,480,High,qvanessa,Application,Single,Active,Win 10,"FVT,SIT",qvanessa,Qualify Tile application on both PC and smartphone.,,NULL,
AP_0032,SW,Lenovo Diag Function Test,1.1,"Lenov Diagnostics, L-Diag",-100,360,,jpajaro1,Application,Matrix,Active,Win 10,"FVT,SIT",jpajaro1,Confirm Lenovo Diagnostics Windows (L-Diag) function.,,Win10-64bit,
AP_0035,SW,MS Teams Function test,2.2,MS Teams,-100,600,High,ycharmaine,Application,Single,Active,"Win 10, Win 11","FVT,FVT 2,SIT,SIT 2",qvanessa,To qualify MS Teams UC App,,NULL,
AP_0038,SW,AP_0038-Zoom Function Test,v0.3,AP_0038-Zoom Function Test,-100,200,,amannem2,Application,Single,Active,"Win 10, Win 11",,gkothandaram,To test the zoom application,,NULL,
AP_0039,SW,Common test for Video call app,v2.2,Common test for Video call app,-100,1440,,gkothandaram,Application,Single,Active,"Win 10, Win 11",,gkothandaram,To test UC Applications,,NULL,
AP_0041,SW,Lenovo View Function Test,v3.1,Lenovo View Function Test,-100,1080,,amannem2,Application,Single,Active,"Win 10, Win 11",,gkothandaram,"To test LVF application on each applicable camera type and vendor.
Refer sheet LVF v3.1.x from LVF GUI version 3.1.x or above
                 LVF v3.0 & v2.x from LVF GUI version 2.x to 3.0.x",,NULL,
AP_0043,SW,Lenovo Smart Appearance,v1.3,Lenovo Smart Appearance,-100,1590,,gkothandaram,Application,Single,Active,"Win 10, Win 11",,gkothandaram,To verify Lenovo Smart Appearance application,,NULL,
AP_0044,SW,联想百应PaaS平台 预装个人模式（包含游客）测试用例,1.5,联想百应PaaS平台 预装个人模式（包含游客）测试用例,-100,600,,gkothandaram,Application,Single,Active,Win 11,,gkothandaram,BaiYing One Test,,NULL,
AP_0045,SW,LBY2.0 function test,2.3,LBY2.0 function test,-100,960,,chaohh2,Application,Single,Active,"Win 10, Win 11",,gkothandaram,"BaiYing One Test
  LBY2.0 test case was first release, and big change compare w/ Baiying One. The version starts from v2.0.0 and introduced Lenovo vantage service in LBY2.0.
ALSO, LBY2.0 was implemented on commercial projects via PCR CP20230617_0001 Support New LBY in ThinkPads",,NULL,
AP_0046,SW,Trackpoint Quick menu Function Test,2.5,Trackpoint,-100,2160,High,amannem2,Application,Single,Active,"Win 10, Win 11","FVT,SIT",qvanessa,To qualify Trackpoint Quick menu's function and UI.,,NULL,
AP_0047,SW,Android App Function test,1.4,Android App Function test,-100,300,,gkothandaram,Application,Single,Active,Win 11,,gkothandaram,To confirm andriod apps in Windows 11,,NULL,
AP_0048,SW,HPD function Test,1.21,HPD,-100,960,,fyuan,Application,Single,Active,Win 11,"FVT,SIT",fyuan,Verify HPD function,,NULL,
AP_0049,SW,Computer vision function Test,3.0,CV,-100,1080,,ycharmaine,Application,Single,Active,Win 11,"FVT,SIT",fyuan,Verify computer vision,,NULL,
AP_0050,SW,Windows Presence Sensing Function Test,2.3,Presence sensing,-100,1200,High,ycharmaine,Application,Single,Active,Win 11,"FVT,SIT",qvanessa,To qualify Windows Presence Sensing feature.,,NULL,
AP_0051,SW,Ultrasound function Test,3.0,Ultrasound,-100,600,,ycharmaine,Application,Single,Active,Win 11,,fyuan,"To verify Ultrasound function

v1.5.1 reupdated with correct test case",,NULL,
AP_0052,SW,Clean Your Device Function Test,1.7,Clean Your Device Function Test,-100,120,,gkothandaram,Application,Single,Active,"Win 10, Win 11",,gkothandaram,To test Clean your device application works without any issues in Thinkpad products,,NULL,
AP_0055,SW,Intel Unison App Function Test,2.1,Intel Unison,-100,1440,High,fyuan,Application,Single,Active,Win 11,"FFRT,FVT,SIT",qvanessa,To Qualify Intel Unison application.,,NULL,
AP_0056,SW,Ready For PC App Function Test,1.1,ReadyFor,-100,960,High,qvanessa,Application,Single,Active,"Win 10, Win 11","FVT,SIT",qvanessa,To qualify Ready For Assistant app on supported products,,NULL,
AP_0059,SW,Lenovo Vantage - Advanced Setup Kits,1.3,Lenovo Vantage - Advanced Setup Kits,-100,300,,chaohh2,Application,Single,Active,"Win 10, Win 11",,gkothandaram,To test Lenovo Vantage feature targetted from Thinkpad E series CS23 projects from v2303,,NULL,
